model,fold_id,macro_f1,balanced_accuracy,brier_score,ece
model_selector_rolling_calibrated,23,0.3734038195229518,0.37001009306280747,0.5863401829762112,0.07572710318184796
model_selector_rolling_calibrated,24,0.4002410032067778,0.3955398099606815,0.53905589039005,0.055208844338224546
model_selector_rolling_calibrated,25,0.375792845672335,0.3931688603595297,0.6160214714290705,0.1747995353360691
model_selector_rolling_calibrated,26,0.3771505353960932,0.3984662172938095,0.6092106551271774,0.1467321496894102
model_selector_rolling_calibrated,27,0.5395273760125403,0.5567762529971833,0.4966507161276381,0.0312948313677255
model_selector_rolling_calibrated,28,0.47278532458958517,0.5059183100849767,0.5601268643838455,0.05716702481950393
model_selector_rolling_calibrated,29,0.4054827357579737,0.48530759573132454,0.656036571393711,0.16589840938787506
model_selector_rolling_calibrated,30,0.43516837674802056,0.44948969041710973,0.6081780099182902,0.05884420731817609
model_selector_rolling_calibrated,31,0.3659090909090909,0.42507631030375226,0.6343530142380531,0.07591399970188947
model_selector_rolling_calibrated,32,0.3477097547131717,0.39599444958371877,0.5798674478271048,0.1438210789866291
model_selector_rolling_calibrated,33,0.27712602712602713,0.3609375,0.5761693100400864,0.11459509881449416
model_selector_rolling_calibrated,34,0.29940191387559806,0.3997199402539209,0.557406685824206,0.06870188357684534
model_selector_rolling_calibrated,35,0.20656583736053935,0.2345949855351977,0.6055552325604793,0.1801501087179766
model_selector_rolling_calibrated,36,0.20662681912681913,0.23285013380909902,0.6188404780071413,0.21518808631270148
model_selector_rolling_calibrated,37,0.21499974035415695,0.24670703677510608,0.5840008861153811,0.1754502663869813
model_selector_rolling_calibrated,38,0.4068800552669655,0.5139083411142235,0.64909004999751,0.22831181097478376
model_selector_rolling_calibrated,39,0.38954386419052073,0.4863306593809167,0.6440931782967573,0.2373041050255019
model_selector_rolling_calibrated,40,0.432837693707259,0.5098958333333333,0.59583335060754,0.1660006580778131
model_selector_rolling_calibrated,41,0.4068503584229391,0.5108212793314048,0.5947150585574247,0.20298095921955195
model_selector_rolling_calibrated,42,0.4549002928579893,0.5383106359163304,0.6068333445422301,0.17360408065464578
model_selector_rolling_calibrated,43,0.378101817860854,0.49369747899159666,0.6348578093977185,0.21140895119295433
model_selector_rolling_calibrated,44,0.4894179894179894,0.5164427709735555,0.6375456621329302,0.1458519157109686
model_selector_rolling_calibrated,45,0.346086860670194,0.4215380284448361,0.66692534531058,0.2668735285600026
model_selector_rolling_calibrated,46,0.39544326641100835,0.45763735075890144,0.6319680291043173,0.2232369325810195
model_selector_rolling_calibrated,47,0.4059574731403201,0.5751733620277379,0.5803850922161737,0.11339311532571282
model_selector_rolling_calibrated,48,0.4767036994978171,0.5154213414089039,0.5397690352864442,0.1064810000115157
model_selector_rolling_calibrated,49,0.3957790060468632,0.3689266713328152,0.6613996197680243,0.1376373426455287
model_selector_rolling_calibrated,50,0.2816289419988631,0.2886490244245847,0.7254690569271856,0.23984177669449033
model_selector_rolling_calibrated,51,0.45199416369929585,0.4577011098730637,0.6000621836605977,0.1335281370111474
model_selector_rolling_calibrated,52,0.33564408223042763,0.4048927522630257,0.7133063981101319,0.2811949148144521
model_selector_rolling_calibrated,53,0.4492368177613321,0.4796130952380952,0.5965711145804842,0.04684475260161456
model_selector_rolling_calibrated,54,0.5371762670376325,0.5496968345805555,0.5170093913791346,0.06012813194256993
model_selector_rolling_calibrated,55,0.42733936570202236,0.43403102284527517,0.5023304931183749,0.06452478335496967
model_selector_rolling_calibrated,56,0.2883545310015898,0.30218515037593985,0.48664976453738,0.021730153913229303
model_selector_rolling_calibrated,57,0.224241293242203,0.26395663956639565,0.542828925183719,0.1123312921591208
model_selector_rolling_calibrated,58,0.41236479920236263,0.5140556222488996,0.5137674163772554,0.06686553275081475
model_selector_rolling_calibrated,59,0.4867600369661813,0.521907022302592,0.5596490461791486,0.07842852252190102
model_selector_rolling_calibrated,60,0.49341248403820076,0.5193888118401516,0.629849040984953,0.09733233443448239
