fold_id,model,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
17,ensemble,0.5142743169715491,0.5622625112287616,0.5374723542050455,0.08367234944177906,0.19339622641509435,1.0224002599716187,2011-02-02,2012-02-02,2013-02-04
18,ensemble,0.45473357942100834,0.4984049380851706,0.534303683604706,0.06460472115888281,0.21226415094339623,1.0003433227539062,2011-05-04,2012-05-03,2013-05-06
19,ensemble,0.468974356593884,0.47631493506493505,0.5363697009924628,0.07427358375468725,0.18396226415094338,1.0580068826675415,2011-08-03,2012-08-02,2013-08-05
20,ensemble,0.4200188226611057,0.4486434108527132,0.625694275927803,0.14734480694426053,0.25,0.9883406162261963,2011-11-01,2012-11-02,2013-11-01
21,ensemble,0.31113575453892506,0.31685724989296415,0.6679747857269638,0.22888604324188594,0.23113207547169812,0.8436077237129211,2012-02-02,2013-02-05,2014-02-04
22,ensemble,0.4340324033545211,0.4517394428220461,0.5770562964240108,0.07502613856758868,0.22641509433962265,0.9668629169464111,2012-05-03,2013-05-07,2014-05-06
23,ensemble,0.3734038195229518,0.37001009306280747,0.5863401829762112,0.07572710318184796,0.2169811320754717,0.96429842710495,2012-08-02,2013-08-06,2014-08-05
24,ensemble,0.4002410032067778,0.3955398099606815,0.53905589039005,0.055208844338224546,0.18867924528301888,0.9377968907356262,2012-11-02,2013-11-04,2014-11-03
25,ensemble,0.375792845672335,0.3931688603595297,0.6160214714290705,0.1747995353360691,0.16981132075471697,0.8469393253326416,2013-02-05,2014-02-05,2015-02-04
26,ensemble,0.3771505353960932,0.3984662172938095,0.6092106551271774,0.1467321496894102,0.1320754716981132,0.8938935399055481,2013-05-07,2014-05-07,2015-05-06
27,ensemble,0.35615468409586054,0.3876056288846987,0.6433329780317167,0.15927096907521637,0.23113207547169812,0.9371686577796936,2013-08-06,2014-08-06,2015-08-05
28,ensemble,0.47278532458958517,0.5059183100849767,0.5601268643838455,0.05716702481950393,0.19811320754716982,0.8719615936279297,2013-11-04,2014-11-04,2015-11-03
29,ensemble,0.4054827357579737,0.48530759573132454,0.656036571393711,0.16589840938787506,0.1650943396226415,0.8613356947898865,2014-02-05,2015-02-05,2016-02-04
30,ensemble,0.36780323263497333,0.36532500717408556,0.5901358040282879,0.0963278095207304,0.22169811320754718,0.9798012375831604,2014-05-07,2015-05-07,2016-05-05
31,ensemble,0.36735970250169037,0.4147216845344451,0.5945887904599264,0.086822724818064,0.15566037735849056,0.9986576437950134,2014-08-06,2015-08-06,2016-08-04
32,ensemble,0.3477097547131717,0.39599444958371877,0.5798674478271048,0.1438210789866291,0.11320754716981132,0.9233898520469666,2014-11-04,2015-11-04,2016-11-02
33,ensemble,0.27712602712602713,0.3609375,0.5761693100400864,0.11459509881449416,0.05188679245283019,1.0166122913360596,2015-02-05,2016-02-05,2017-02-03
34,ensemble,0.29940191387559806,0.3997199402539209,0.557406685824206,0.06870188357684534,0.07547169811320754,0.9475995898246765,2015-05-07,2016-05-06,2017-05-05
35,ensemble,0.2518595831005792,0.3605593056894889,0.48488054286964566,0.06876547977398262,0.1179245283018868,0.8317630290985107,2015-08-06,2016-08-05,2017-08-04
36,ensemble,0.4251012145748988,0.5049955396966994,0.5385325765722673,0.14619635947993107,0.04716981132075472,0.7714855074882507,2015-11-04,2016-11-03,2017-11-02
37,ensemble,0.21193952742203007,0.5008840169731259,0.588797624836581,0.16852676658563215,0.08962264150943396,0.7347357869148254,2016-02-05,2017-02-06,2018-02-05
